indicator,value,unit,year_or_date,source,notes
global_e_waste_generation,62,million tonnes,2022,"Baldé et al., 2024, Global E-waste Monitor","Documented formal collection/recycling 22.3%"
global_e_waste_2030_projection,82,million tonnes,2030,"Baldé et al., 2024, Global E-waste Monitor",Further 32 percent rise from 2022
india_e_waste_gem_2022,4.1,million tonnes,2022,"Baldé et al., 2024, Global E-waste Monitor","India listed at 4 100 million kg; third after China (12 000 million kg)"
india_rank_gem,3,rank,2022,"Baldé et al., 2024, Global E-waste Monitor",After China and ahead of Japan in Asia total
rare_earth_from_ewaste_recycling,1,percent of demand,2022,"Baldé et al., 2024, Global E-waste Monitor press summary",Global pattern; not India-specific
india_e_waste_niti_2020,2.76,million tonnes,2020,"NITI Aayog, 2026 citing ITU & UNITAR, 2024",International-monitor trajectory used by NITI
india_e_waste_niti_2024,6.19,million tonnes,2024,"NITI Aayog, 2026 citing ITU & UNITAR, 2024",Same source chain
india_e_waste_niti_2030,14,million tonnes,2030 projection,"NITI Aayog, 2026 citing ITU & UNITAR, 2024",Business-as-usual projection in NITI synthesis
india_e_waste_redseer_fy24,3.8,million tonnes,FY 2023-24,"RedSeer, 2025, Consumer-led E-Waste Market Assessment",Third-largest producer in that assessment
cpcb_generation_fy2023_24,1254286.55,tonnes,FY 2023-24,"MoEFCC parliamentary reply; generation estimated by CPCB from producer sales and average EEE life under Rules 2022","Official denominator"
cpcb_generation_fy2024_25,1397955.59,tonnes,FY 2024-25,MoEFCC Lok Sabha reply 11 August 2025 (13.97 lakh tonnes),"Official denominator"
cpcb_formal_share_fy2023_24,61.94,percent,FY 2023-24,CPCB/MoEFCC figures reported against the official denominator,Share of official generation
cpcb_formal_share_fy2024_25,70.71,percent,FY 2024-25,CPCB/MoEFCC figures reported against the official denominator,Share of official generation
registered_recyclers,322,count,9 February 2025,"Press Information Bureau, PRID 2102701",CPCB EPR portal snapshot
registered_refurbishers,72,count,9 February 2025,"Press Information Bureau, PRID 2102701",CPCB EPR portal snapshot
recycler_capacity,2208918.064,tonnes per annum,9 February 2025,"Press Information Bureau, PRID 2102701",Reported processing capacity
refurbisher_capacity,92042.18,tonnes per annum,9 February 2025,"Press Information Bureau, PRID 2102701",Reported processing capacity
recycler_to_refurbisher_ratio,4.47,ratio,9 February 2025,Derived from PIB counts,322/72
india_population,1.44,billion,2024,UN DESA World Population Prospects 2024,Rounded
wireless_subscribers,1150.66,million,31 December 2024,"TRAI, telecom subscription data","Wireless (mobile) base"
rural_wireless_subscribers,523.58,million,31 December 2024,"TRAI press release 11 March 2025",Rural share about 45.5 percent
informal_collection_share,90,percent,2023,"ICEA, 2024, Pathways to Circular Economy in Indian Electronics Sector",Collection volume
informal_recycling_share,70,percent,2023,"ICEA, 2024, Pathways to Circular Economy in Indian Electronics Sector",Recycling volume
informal_processing_literature,90,percent,2019,"Turaga et al., 2019, Vikalpa 44(3)",Literature estimate that more than 90 percent is processed informally
niti_informal_remaining,62,percent,2024,"NITI Aayog, 2026",Informal sector remains dominant
niti_collection_centres,2808,count,2024,"NITI Aayog, 2026",National collection-centre count cited by NITI
icea_high_capacity_share,48.2,percent of formal capacity,2023,"ICEA, 2023 via NITI Aayog, 2026",30 recyclers >10 000 MT
epr_target_fy2023_25,60,percent,2023-25,"E-Waste (Management) Rules, 2022; PIB PRID 1881761",Producer recycling target
epr_target_fy2025_27,70,percent,2025-27,"E-Waste (Management) Rules, 2022; PIB PRID 1881761",Producer recycling target
epr_target_fy2027_onwards,80,percent,2027 onwards,"E-Waste (Management) Rules, 2022; PIB PRID 1881761",Producer recycling target
