strategy,delta_km,n,c_cons,M,haulage,cons_share,transport,S,A,Acc,Cap,V,L,phi,bind,technical_value,licensed,place,state,lat,lon,class,nearest_hub,great_circle_km,road_km,scenario
Refurbishment,0.0,200,400,850,0.0,2.0,2.0,848.0,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,Mumbai,Maharashtra,19.076,72.8777,metropolitan,Mumbai,0.0,0.0,observed_metro_density
Component harvesting,0.0,200,400,200,0.0,2.0,2.0,198.0,0.0,0.9349,0.8,1.0,0.76,0.0,Availability,0.55,False,Mumbai,Maharashtra,19.076,72.8777,metropolitan,Mumbai,0.0,0.0,observed_metro_density
Material recycling,0.0,200,400,-35,0.0,2.0,2.0,-37.0,1.0,0.9349,0.8,0.0,0.76,0.0,Viability,0.2,True,Mumbai,Maharashtra,19.076,72.8777,metropolitan,Mumbai,0.0,0.0,observed_metro_density
Refurbishment,0.0,200,400,850,0.0,2.0,2.0,848.0,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,Delhi,Delhi,28.6139,77.209,metropolitan,Delhi-NCR,0.0,0.0,observed_metro_density
Component harvesting,0.0,200,400,200,0.0,2.0,2.0,198.0,0.0,0.9349,0.8,1.0,0.76,0.0,Availability,0.55,False,Delhi,Delhi,28.6139,77.209,metropolitan,Delhi-NCR,0.0,0.0,observed_metro_density
Material recycling,0.0,200,400,-35,0.0,2.0,2.0,-37.0,1.0,0.9349,0.8,0.0,0.76,0.0,Viability,0.2,True,Delhi,Delhi,28.6139,77.209,metropolitan,Delhi-NCR,0.0,0.0,observed_metro_density
Refurbishment,0.0,200,400,850,0.0,2.0,2.0,848.0,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,Bengaluru,Karnataka,12.9716,77.5946,metropolitan,Bengaluru,0.0,0.0,observed_metro_density
Component harvesting,0.0,200,400,200,0.0,2.0,2.0,198.0,0.0,0.9349,0.8,1.0,0.76,0.0,Availability,0.55,False,Bengaluru,Karnataka,12.9716,77.5946,metropolitan,Bengaluru,0.0,0.0,observed_metro_density
Material recycling,0.0,200,400,-35,0.0,2.0,2.0,-37.0,1.0,0.9349,0.8,0.0,0.76,0.0,Viability,0.2,True,Bengaluru,Karnataka,12.9716,77.5946,metropolitan,Bengaluru,0.0,0.0,observed_metro_density
Refurbishment,0.0,200,400,850,0.0,2.0,2.0,848.0,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,Hyderabad,Telangana,17.385,78.4867,metropolitan,Hyderabad,0.0,0.0,observed_metro_density
Component harvesting,0.0,200,400,200,0.0,2.0,2.0,198.0,0.0,0.9349,0.8,1.0,0.76,0.0,Availability,0.55,False,Hyderabad,Telangana,17.385,78.4867,metropolitan,Hyderabad,0.0,0.0,observed_metro_density
Material recycling,0.0,200,400,-35,0.0,2.0,2.0,-37.0,1.0,0.9349,0.8,0.0,0.76,0.0,Viability,0.2,True,Hyderabad,Telangana,17.385,78.4867,metropolitan,Hyderabad,0.0,0.0,observed_metro_density
