strategy,delta_km,n,c_cons,M,haulage,cons_share,transport,S,A,Acc,Cap,V,L,phi,bind,technical_value,licensed,n_grid,delta_grid
Refurbishment,25,1,250,850,0.03,250.0,250.03,599.97,1.0,0.937,0.8,1.0,0.93,0.6971,—,1.0,True,1,25
Refurbishment,100,1,250,850,0.11,250.0,250.11,599.89,1.0,0.8581,0.8,1.0,0.86,0.5904,—,1.0,True,1,100
Refurbishment,180,1,250,850,0.21,250.0,250.21,599.79,1.0,0.6985,0.8,1.0,0.86,0.4805,—,1.0,True,1,180
Refurbishment,300,1,250,850,0.34,250.0,250.34,599.66,1.0,0.3543,0.8,1.0,0.34,0.0964,Legibility,1.0,True,1,300
Refurbishment,520,1,250,850,0.59,250.0,250.59,599.41,1.0,0.0377,0.8,1.0,0.34,0.0103,Accessibility,1.0,True,1,520
Refurbishment,800,1,250,850,0.91,250.0,250.91,599.09,1.0,0.0014,0.8,1.0,0.34,0.0004,Accessibility,1.0,True,1,800
Refurbishment,25,5,900,850,0.03,180.0,180.03,669.97,1.0,0.937,0.8,1.0,0.93,0.6971,—,1.0,True,5,25
Refurbishment,100,5,900,850,0.11,180.0,180.11,669.89,1.0,0.8581,0.8,1.0,0.86,0.5904,—,1.0,True,5,100
Refurbishment,180,5,900,850,0.21,180.0,180.21,669.79,1.0,0.6985,0.8,1.0,0.86,0.4805,—,1.0,True,5,180
Refurbishment,300,5,900,850,0.34,180.0,180.34,669.66,1.0,0.3543,0.8,1.0,0.34,0.0964,Legibility,1.0,True,5,300
Refurbishment,520,5,900,850,0.59,180.0,180.59,669.41,1.0,0.0377,0.8,1.0,0.34,0.0103,Accessibility,1.0,True,5,520
Refurbishment,800,5,900,850,0.91,180.0,180.91,669.09,1.0,0.0014,0.8,1.0,0.34,0.0004,Accessibility,1.0,True,5,800
Refurbishment,25,10,900,850,0.03,90.0,90.03,759.97,1.0,0.937,0.8,1.0,0.93,0.6971,—,1.0,True,10,25
Refurbishment,100,10,900,850,0.11,90.0,90.11,759.89,1.0,0.8581,0.8,1.0,0.86,0.5904,—,1.0,True,10,100
Refurbishment,180,10,900,850,0.21,90.0,90.21,759.79,1.0,0.6985,0.8,1.0,0.86,0.4805,—,1.0,True,10,180
Refurbishment,300,10,900,850,0.34,90.0,90.34,759.66,1.0,0.3543,0.8,1.0,0.34,0.0964,Legibility,1.0,True,10,300
Refurbishment,520,10,900,850,0.59,90.0,90.59,759.41,1.0,0.0377,0.8,1.0,0.34,0.0103,Accessibility,1.0,True,10,520
Refurbishment,800,10,900,850,0.91,90.0,90.91,759.09,1.0,0.0014,0.8,1.0,0.34,0.0004,Accessibility,1.0,True,10,800
Refurbishment,25,20,900,850,0.03,45.0,45.03,804.97,1.0,0.937,0.8,1.0,0.93,0.6971,—,1.0,True,20,25
Refurbishment,100,20,900,850,0.11,45.0,45.11,804.89,1.0,0.8581,0.8,1.0,0.86,0.5904,—,1.0,True,20,100
Refurbishment,180,20,900,850,0.21,45.0,45.21,804.79,1.0,0.6985,0.8,1.0,0.86,0.4805,—,1.0,True,20,180
Refurbishment,300,20,900,850,0.34,45.0,45.34,804.66,1.0,0.3543,0.8,1.0,0.34,0.0964,Legibility,1.0,True,20,300
Refurbishment,520,20,900,850,0.59,45.0,45.59,804.41,1.0,0.0377,0.8,1.0,0.34,0.0103,Accessibility,1.0,True,20,520
Refurbishment,800,20,900,850,0.91,45.0,45.91,804.09,1.0,0.0014,0.8,1.0,0.34,0.0004,Accessibility,1.0,True,20,800
Refurbishment,25,40,900,850,0.03,22.5,22.53,827.47,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,40,25
Refurbishment,100,40,900,850,0.11,22.5,22.61,827.39,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,40,100
Refurbishment,180,40,900,850,0.21,22.5,22.71,827.29,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,40,180
Refurbishment,300,40,900,850,0.34,22.5,22.84,827.16,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,40,300
Refurbishment,520,40,900,850,0.59,22.5,23.09,826.91,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,40,520
Refurbishment,800,40,900,850,0.91,22.5,23.41,826.59,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,40,800
Refurbishment,25,60,900,850,0.03,15.0,15.03,834.97,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,60,25
Refurbishment,100,60,900,850,0.11,15.0,15.11,834.89,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,60,100
Refurbishment,180,60,900,850,0.21,15.0,15.21,834.79,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,60,180
Refurbishment,300,60,900,850,0.34,15.0,15.34,834.66,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,60,300
Refurbishment,520,60,900,850,0.59,15.0,15.59,834.41,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,60,520
Refurbishment,800,60,900,850,0.91,15.0,15.91,834.09,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,60,800
Refurbishment,25,100,900,850,0.03,9.0,9.03,840.97,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,100,25
Refurbishment,100,100,900,850,0.11,9.0,9.11,840.89,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,100,100
Refurbishment,180,100,900,850,0.21,9.0,9.21,840.79,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,100,180
Refurbishment,300,100,900,850,0.34,9.0,9.34,840.66,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,100,300
Refurbishment,520,100,900,850,0.59,9.0,9.59,840.41,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,100,520
Refurbishment,800,100,900,850,0.91,9.0,9.91,840.09,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,100,800
Refurbishment,25,200,400,850,0.03,2.0,2.03,847.97,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,200,25
Refurbishment,100,200,400,850,0.11,2.0,2.11,847.89,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,200,100
Refurbishment,180,200,400,850,0.21,2.0,2.21,847.79,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,200,180
Refurbishment,300,200,400,850,0.34,2.0,2.34,847.66,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,200,300
Refurbishment,520,200,400,850,0.59,2.0,2.59,847.41,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,200,520
Refurbishment,800,200,400,850,0.91,2.0,2.91,847.09,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,200,800
